Apple | Supermarket
Milk | Supermarket
Cheese  | Supermarket
Bananas  | Supermarket
Oranges  | Supermarket
Onions  | Supermarket
Lemons  | Supermarket
Tomatoes | Supermarket
Eggplant  | Supermarket
Guava  | Supermarket
Chili  | Supermarket
Chili Pepper  | Supermarket
Pomegranate  | Supermarket
Kiwi  | Supermarket
kiwifruit  | Supermarket
grape  | Supermarket
cranberry  | Supermarket
blueberry  | Supermarket
blue berry  | Supermarket
pumpkin  | Supermarket
gourd  | Supermarket
Cucumber  | Supermarket
melon  | Supermarket
Lime  | Supermarket
Grapefruit  | Supermarket
blackberry  | Supermarket
black berry  | Supermarket
raspberry  | Supermarket
boysenberry  | Supermarket
pineapple  | Supermarket
fig  | Supermarket
mulberry  | Supermarket
hedge apple  | Supermarket
strawberry  | Supermarket
Broccoli  | Supermarket
cabbage  | Supermarket
celery  | Supermarket
corn  | Supermarket
kale  | Supermarket
lettuce  | Supermarket
mustard  | Supermarket
spinach  | Supermarket
turnip  | Supermarket
Mayonnaise  | Supermarket
Salt  | Supermarket
Pepper  | Supermarket
Cereal  | Supermarket
meat  | Supermarket
pork  | Supermarket
beef  | Supermarket
turkey  | Supermarket
fish  | Supermarket
tuna  | Supermarket
flounder  | Supermarket
sugar  | Supermarket
batteries | electronics_store
computer | electronics_store
video card | electronics_store
tv | electronics_store
television | electronics_store
printer | electronics_store
ssd | electronics_store
hard drive | electronics_store
flash drive | electronics_store
computer fan | electronics_store
ink | electronics_store
toner | electronics_store
video games | electronics_store
dvds | electronics_store
movies | electronics_store
cds | electronics_store
Shirt | department_store
pants | department_store
socks | department_store
underwear | department_store
hat | department_store
gloves | department_store
coat | department_store
jacket | department_store
shoes | department_store
